level_0,index,society,price,sector,price_per_sqft,area,property_type,areaWithType,super_built_up_area,built_up_area,carpet_area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,servant room,pooja room,study room,others,store room,furnishing_type,luxary_score
24,24,suposhaa smartworld orchard,2.25,sector 61,14525.0,1549.0,flat,Carpet area: 1549 (143.91 sq.m.),,,1549.0,3.0,3.0,2 ,3.0,,under construction,0,0,0,0,0,1,0
25,25,bestech altura,2.69,sector 79,12500.0,2152.0,flat,Super Built up area 2150(199.74 sq.m.),2149.981386,,,3.0,4.0,3+ ,3.0,,new Property,1,0,0,0,0,1,49
26,26,vipul belmonte,6.5,sector 53,21922.0,2965.0,flat,Super Built up area 2965(275.46 sq.m.),2965.0238939999995,,,3.0,4.0,3+ ,0.0,,old property,0,0,1,1,0,1,72
27,27,breez global heights,0.46,sohna road,6478.0,710.0,flat,Carpet area: 710 (65.96 sq.m.),,,710.0,2.0,2.0,2 ,6.0,East,relatively new,0,0,0,0,0,2,49
28,28,emaar mgf marbella,,sector 66,,,house,Plot area 500(418.06 sq.m.),,500.0,,5.0,7.0,3+ ,2.0,,moderately old,1,1,1,0,1,0,70
29,29,sare homes,0.95,sector 92,4871.0,1950.0,flat,Super Built up area 1950(181.16 sq.m.),1949.988124,,,4.0,3.0,3 ,13.0,,new Property,0,0,0,0,0,1,0
30,31,emaar mgf marbella,12.0,sector 66,37037.0,3240.00324000324,house,Plot area 360(301.01 sq.m.),,3240.0,,5.0,5.0,3+ ,3.0,East,new Property,1,1,0,0,1,0,106
31,32,vatika independent floors,1.45,sector 82,8056.0,1800.0,flat,Built Up area: 1800 (167.23 sq.m.),,1800.0,,4.0,3.0,0 ,1.0,,undefined,0,0,0,0,0,1,50
32,33,vatika city,1.72,sector 49,7818.0,2200.0,flat,Carpet area: 2200 (204.39 sq.m.),,,2200.0,3.0,3.0,2 ,2.0,North-East,old property,0,0,0,0,0,0,144
33,34,experion heartsong,1.08,dwarka expressway,6150.0,1756.0,flat,Built Up area: 1758 (163.32 sq.m.),,1758.0,,3.0,3.0,0 ,,,under construction,0,0,0,0,0,1,0
34,35,bptp terra,1.95,sector 37d,14444.0,1350.0,flat,Super Built up area 2191(203.55 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),2190.991845,1650.0,1350.0,4.0,3.0,3 ,7.0,,new Property,0,0,0,0,0,1,53
35,36,ss the leaf,1.18,sector 85,10727.0,1100.0,flat,Super Built up area 1741(161.74 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),1740.953186,1700.0,1100.0,2.0,2.0,3 ,9.0,North-East,relatively new,0,0,1,0,0,0,150
