sector,property_type,built_up_area,bedRoom,bathroom,balcony,agePossession,servant room,store room,furnishing_type,luxury_category,floor_category,price
20.0,0.0,3131.248,4.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2.7
103.0,0.0,1591.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,1.14
32.0,1.0,1800.00553847858,4.0,4.0,4.0,0.0,1.0,1.0,1.0,2.0,1.0,6.5
47.0,1.0,1825.099,6.0,6.0,4.0,2.0,1.0,0.0,0.0,2.0,2.0,4.0
33.0,1.0,4491.218,5.0,5.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,13.5
81.0,1.0,753.4939999999999,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.69
91.0,0.0,1376.5067347886666,2.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,0.95
7.0,1.0,3202.831,4.0,4.0,4.0,3.0,1.0,1.0,0.0,2.0,1.0,4.35
91.0,0.0,1414.2749651648862,2.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,1.29
82.0,0.0,2119.743707396185,4.0,5.0,4.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0
91.0,0.0,1166.8258077185285,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.2
91.0,0.0,2659.164,4.0,5.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,2.55
75.0,0.0,1750.0,4.0,4.0,3.0,3.0,1.0,0.0,0.0,2.0,2.0,2.75
109.0,0.0,2841.0,4.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,2.0,1.1
113.0,0.0,1074.601,2.0,2.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,0.75
12.0,0.0,1904.078805000658,3.0,5.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,3.95
12.0,0.0,1653.6674407803066,3.0,3.0,3.0,3.0,0.0,0.0,1.0,0.0,2.0,0.8
29.0,0.0,2012.0,3.0,4.0,4.0,1.0,1.0,0.0,0.0,2.0,2.0,3.5
105.0,0.0,1571.7394333488155,3.0,3.0,4.0,3.0,0.0,0.0,1.0,2.0,0.0,1.21
64.0,1.0,1440.434,4.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,3.55
100.0,0.0,2055.753831862517,3.0,4.0,3.0,3.0,1.0,0.0,1.0,2.0,0.0,1.93
113.0,0.0,1289.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,0.7
91.0,0.0,1450.0,2.0,2.0,3.0,3.0,0.0,0.0,1.0,2.0,2.0,0.9
31.0,1.0,1349.9961428681631,4.0,4.0,4.0,3.0,1.0,0.0,0.0,2.0,1.0,5.25
20.0,1.0,1341.994,5.0,5.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.5
8.0,0.0,3018.0,4.0,5.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,1.35
83.0,1.0,1327.0,2.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,0.92
80.0,0.0,1383.6730143985135,3.0,3.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,1.36
